"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.445,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.557,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.689,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.774,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.055,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.321,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.252,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.133,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2010",10.556,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2011",10.23,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2012",10.24,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2013",10.133,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2014",9.97,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2015",10.377,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2016",10.535,"P"
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.411,"P"
"FRA","HEALTHEXP","TOT","PC_GDP","A","2010",11.179,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2011",11.194,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2012",11.321,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2013",11.442,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2014",11.595,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2015",11.501,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2016",11.539,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2017",11.458,"E"
"DEU","HEALTHEXP","TOT","PC_GDP","A","2010",11.004,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2011",10.715,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2012",10.767,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2013",10.915,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2014",10.957,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2015",11.079,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2016",11.139,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2017",11.272,"P"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2010",8.954,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2011",8.835,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2012",8.956,"B"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2013",8.952,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2014",9.011,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2015",8.985,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2016",8.935,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2017",8.901,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2010",9.157,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2011",10.617,"B"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2012",10.791,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2013",10.792,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2014",10.832,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2015",10.872,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2016",10.84,"E"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2017",10.745,"E"
"KOR","HEALTHEXP","TOT","PC_GDP","A","2010",6.241,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2011",6.302,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2012",6.437,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2013",6.578,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2014",6.82,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2015",7.049,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2016",7.338,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2017",7.569,"P"
"MEX","HEALTHEXP","TOT","PC_GDP","A","2010",5.975,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2011",5.701,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2012",5.842,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2013",5.941,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2014",5.608,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2015",5.756,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2016",5.469,"B"
"MEX","HEALTHEXP","TOT","PC_GDP","A","2017",5.404,"E"
"TUR","HEALTHEXP","TOT","PC_GDP","A","2010",5.054,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2011",4.688,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2012",4.478,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2013",4.404,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2014",4.347,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2015",4.139,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2016",4.314,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2017",4.227,"E"
"GBR","HEALTHEXP","TOT","PC_GDP","A","2010",8.474,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2011",8.422,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2012",8.339,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2013",9.772,"B"
"GBR","HEALTHEXP","TOT","PC_GDP","A","2014",9.724,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2015",9.793,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2016",9.762,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2017",9.687,"E"
"USA","HEALTHEXP","TOT","PC_GDP","A","2010",16.413,
