"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3610.796,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3794.087,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3805.301,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4179.96,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4300.383,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4409.499,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4513.991,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4543.085,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4225.189,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4252.249,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4315.851,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4468.695,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4538.199,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4632.837,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4721.578,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4826.316,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2010",4036.642,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2011",4206.912,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2012",4276.187,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2013",4533.808,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4666.074,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4656.575,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4773.039,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4902.139,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2010",4396.635,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2011",4574.546,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2012",4690.68,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2013",4937.141,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2014",5160.105,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2015",5296.994,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5451.854,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5728.451,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2010",3137.542,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2011",3211.158,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2012",3245.418,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2013",3234.556,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2014",3250.499,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2015",3292.267,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3429.458,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3541.73,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2010",3205.216,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2011",3798.062,"B"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2012",4014.337,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2013",4206.951,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2014",4245.202,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2015",4428.349,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2016",4585.388,"E"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2017",4717.276,"E"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2010",1895.699,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2011",1968.14,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2012",2066.151,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2013",2145.485,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2014",2290.805,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2015",2481.587,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2016",2687.725,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2017",2897.052,"P"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2010",911.351,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2011",942.472,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2012",1005.894,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2013",1038.243,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2014",1020.82,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2015",1037.424,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2016",1020.301,"B"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2017",1034.378,"E"
"TUR","HEALTHEXP","TOT","USD_CAP","A","2010",871.677,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2011",911.571,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2012",916.772,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2013",977.933,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2014",1042.59,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2015",1028.911,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2016",1092.466,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2017",1193.856,"E"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2010",3040.114,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2011",3083.163,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2012",3144.333,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2013",3841.327,"B"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2014",3958.337,
